taz,sum,max,min,mean,std,25p,50p,75p
610,1950.2,38.0,0.2,11.61,8.94,4.75,9.1,16.85
611,4142.35,79.25,3.0,24.66,17.52,11.71,17.38,33.2
612,251.3,6.25,0.0,1.5,1.37,0.4,1.0,2.25
613,266.9,5.75,0.0,1.59,1.31,0.5,1.25,2.25
614,1082.3,17.0,0.0,6.44,4.08,2.5,6.78,9.25
615,2106.55,32.75,0.2,12.54,7.81,6.88,12.3,17.25
616,264.75,6.0,0.0,1.58,1.31,0.5,1.25,2.5
617,308.35,7.0,0.0,1.84,1.59,0.5,1.45,2.75
618,2474.25,134.25,0.2,14.73,22.91,3.15,8.5,13.05
619,4242.4,118.75,0.4,25.25,24.12,6.69,19.8,31.62
620,2188.35,36.75,0.6,13.03,7.97,6.9,12.4,17.4
621,1937.95,30.25,0.0,11.54,6.93,6.4,11.3,15.52
622,2013.6,33.75,0.6,11.99,6.86,6.79,11.78,16.31
623,1244.6,20.5,0.2,7.41,4.48,3.75,7.5,10.05
624,485.05,12.75,0.0,2.89,2.35,1.0,2.2,4.29
625,197.2,4.0,0.0,1.17,0.96,0.4,0.9,1.75
626,2306.0,56.25,0.4,13.73,11.09,5.19,12.0,17.29
627,2506.95,82.75,0.6,14.92,14.11,7.19,12.22,16.81
628,2710.2,42.75,0.6,16.13,9.61,8.75,15.75,21.76
629,936.2,15.0,0.0,5.57,3.41,2.69,5.5,7.6
630,2067.75,34.5,0.8,12.31,6.9,7.8,11.75,17.21
631,1640.4,22.25,0.6,9.76,5.53,5.15,9.68,13.6
632,1655.0,43.0,0.0,9.85,7.39,4.36,9.45,14.05
633,824.7,19.25,0.0,4.91,3.68,1.94,4.68,7.0
634,490.9,10.0,0.0,2.92,2.04,1.25,2.6,4.31
635,535.25,10.25,0.0,3.19,2.24,1.5,2.78,4.5
636,963.95,17.75,0.2,5.74,4.05,2.71,5.0,8.0
637,879.95,15.5,0.0,5.24,3.71,2.25,4.0,7.56
638,1299.15,17.0,0.4,7.73,3.79,5.3,7.8,10.25
639,2329.6,37.25,1.2,13.87,6.66,9.5,12.9,16.85
640,2918.6,49.75,0.8,17.37,9.68,11.15,16.2,21.0
641,2413.6,57.5,0.0,14.37,11.55,4.3,13.0,20.75
642,3655.5,60.5,0.0,21.76,15.4,7.81,20.5,33.06
643,2400.5,37.25,0.0,14.29,9.6,5.57,14.12,21.58
644,5186.3,106.8,0.0,30.87,26.92,9.75,25.1,43.25
645,1650.4,29.25,0.2,9.82,6.12,4.71,10.2,14.0
646,2018.2,108.75,0.0,12.01,14.59,3.15,10.38,14.64
647,5020.5,106.75,1.8,29.88,21.65,13.05,26.5,41.05
648,3000.9,63.0,0.4,17.86,12.46,7.2,16.8,26.15
649,1750.25,60.25,0.0,10.42,12.96,1.88,6.6,12.91
650,698.1,16.5,0.0,4.16,3.11,1.71,3.75,6.0
651,1621.0,24.25,0.0,9.65,5.95,4.47,9.9,13.65
652,1890.9,34.4,0.0,11.26,8.15,4.5,10.62,16.21
653,515.15,26.0,0.0,3.07,4.48,0.25,1.25,4.6
654,1568.6,25.6,0.0,9.34,6.78,3.9,7.75,15.0
655,1910.35,157.5,0.0,11.37,20.86,1.71,5.68,10.76
656,1075.65,23.25,0.0,6.4,5.03,2.95,5.0,8.64
657,3257.55,57.0,0.4,19.39,12.82,8.88,17.75,29.31
658,2508.0,34.4,0.4,14.93,8.97,7.0,15.55,21.5
